Time;PEEQ;DUCTCRT
0;0;0
0.0001;0;0
0.0002;0;0
0.0003;0;0
0.0004;0;0
0.0005;0;0
0.0006;0;0
0.0007;0;0
0.0008;0;0
0.0009;0;0
0.001;0;0
0.0011;0;0
0.0012;0;0
0.0013;0;0
0.0014;0;0
0.0015;0;0
0.0016;0;0
0.0017;0;0
0.0018;0;0
0.0019;0;0
0.002;0;0
0.0021;0;0
0.0022;0;0
0.0023;0;0
0.0024;0;0
0.0025;0;0
0.0026;0;0
0.0027;0;0
0.0028;0;0
0.0029;0;0
0.003;0;0
0.0031;0;0
0.0032;0;0
0.0033;0;0
0.0034;0;0
0.0035;0;0
0.0036;0;0
0.0037;0;0
0.0038;0;0
0.0039;0;0
0.004;0;0
0.0041;0;0
0.0042;0;0
0.0043;0;0
0.0044;0;0
0.0045;0;0
0.0046;0;0
0.0047;0;0
0.0048;0;0
0.0049;0;0
0.005;0;0
0.0051;0;0
0.0052;0;0
0.0053;0;0
0.0054;0;0
0.0055;0;0
0.0056;0;0
0.0057;0;0
0.0058;0;0
0.0059;0;0
0.006;0;0
0.0061;0;0
0.0062;0;0
0.0063;0;0
0.0064;0;0
0.0065;0;0
0.0066;0;0
0.0067;0;0
0.0068;0;0
0.0069;0;0
0.007;0;0
0.0071;0;0
0.0072;0;0
0.0073;0;0
0.0074;0;0
0.0075;0;0
0.0076;0;0
0.0077;0;0
0.0078;0;0
0.0079;0;0
0.008;0;0
0.0081;0;0
0.0082;0;0
0.0083;0;0
0.0084;0;0
0.0085;0;0
0.0086;0;0
0.0087;0;0
0.0088;0;0
0.0089;0;0
0.009;0;0
0.0091;0;0
0.0092;0;0
0.0093;0;0
0.0094;0;0
0.0095;0;0
0.0096;0;0
0.0097;0;0
0.0098;0;0
0.0099;0;0
0.01;0;0
0.0101;0;0
0.0102;0;0
0.0103;0;0
0.0104;0;0
0.0105;0;0
0.0106;0;0
0.0107;0;0
0.0108;0;0
0.0109;0;0
0.011;0;0
0.0111;0;0
0.0112;0;0
0.0113;0;0
0.0114;0;0
0.0115;0;0
0.0116;0;0
0.0117;0;0
0.0118;0;0
0.0119;0;0
0.012;0;0
0.0121;0;0
0.0122;0;0
0.0123;0;0
0.0124;0;0
0.0125;0;0
0.0126;0;0
0.0127;0;0
0.0128;0;0
0.0129;0;0
0.013;0;0
0.0131;0;0
0.0132;0;0
0.0133;0;0
0.0134;0;0
0.0135;0;0
0.0136;0;0
0.0137;0;0
0.0138;0;0
0.0139;0;0
0.014;0;0
0.0141;0;0
0.0142;0;0
0.0143;0;0
0.0144;0;0
0.0145;0;0
0.0146;0;0
0.0147;0;0
0.0148;0;0
0.0149;0;0
0.015;0;0
0.015;0;0
0.0150912;0;0
0.0157589;6.68E-05;0.000419418
0.0195849;0.00137104;0.00877232
0.0245849;0.00309147;0.0201668
0.0295849;0.00480888;0.0318506
0.0345849;0.00652325;0.0437306
0.0395849;0.00823473;0.0557435
0.0445849;0.00994426;0.0678523
0.0495849;0.0116874;0.0802927
0.0545849;0.013429;0.0927901
0.0595849;0.0151686;0.105324
0.0645849;0.0169063;0.117883
0.0695849;0.0186423;0.130459
0.0745849;0.0203799;0.143072
0.0795849;0.0221219;0.155739
0.0845849;0.0238603;0.168401
0.0895849;0.0255962;0.181061
0.0945849;0.0273304;0.193725
0.0995849;0.0290632;0.206393
0.104585;0.0307981;0.219091
0.109585;0.0325346;0.231815
0.114585;0.0342703;0.244546
0.119585;0.0360053;0.257285
0.124585;0.0377395;0.270031
0.129585;0.0394721;0.282778
0.134585;0.0412046;0.295536
0.139585;0.0429361;0.308301
0.144585;0.0446664;0.321068
0.149585;0.0463955;0.33384
0.154585;0.0481237;0.346616
0.159585;0.0498515;0.359401
0.164585;0.0515801;0.372206
0.169585;0.0533083;0.38502
0.174585;0.0550359;0.397841
0.179585;0.0567627;0.410669
0.184585;0.0584885;0.423501
0.189585;0.0602084;0.436302
0.194585;0.0619215;0.449064
0.199585;0.0636197;0.461727
0.204585;0.0653084;0.474332
0.209585;0.0669951;0.486934
0.214585;0.0686634;0.499411
0.219585;0.0703043;0.511694
0.224585;0.0719382;0.523937
0.229585;0.0735682;0.536163
0.234585;0.0751951;0.548376
0.239585;0.076819;0.560579
0.244585;0.0784407;0.572775
0.249585;0.0800612;0.584972
0.254585;0.0816811;0.597176
0.259585;0.0832993;0.609377
0.264585;0.0849156;0.621573
0.269585;0.0865301;0.633765
0.274585;0.088143;0.645954
0.279585;0.0897552;0.658149
0.284585;0.0913674;0.670351
0.289585;0.0929786;0.682555
0.294585;0.0945885;0.694759
0.299585;0.0961971;0.706962
0.304585;0.0978047;0.719165
0.309585;0.0994118;0.731374
0.314585;0.101019;0.743591
0.319585;0.102625;0.755813
0.324585;0.104231;0.768037
0.329585;0.105836;0.780261
0.334585;0.10744;0.792488
0.339585;0.109043;0.80472
0.344585;0.110646;0.816959
0.349585;0.112249;0.829205
0.354585;0.11385;0.841439
0.359585;0.115448;0.853666
0.364585;0.117045;0.865892
0.369585;0.118642;0.878122
0.374585;0.120238;0.890359
0.379585;0.121829;0.902557
0.384585;0.123412;0.914712
0.389585;0.124993;0.926853
0.394585;0.126572;0.938991
0.399585;0.128151;0.95113
0.404585;0.129725;0.963247
0.409585;0.131296;0.975347
0.414585;0.132866;0.98744
0.419585;0.134434;0.999532
0.423835;0.136157;1
0.423997;0.136213;1
