alpha	normdisp	sigma	abqdisp	abqsigma
0.25	0.026169386	47.54299754	0.036657226	50.26615046
0.375	0.025547786	69.65601966	0.036984315	72.98433631
0.5	0.026107226	89.92628993	0.037358077	94.52506805
0.75	0.034623155	134.8894349	0.037773178	134.0200929
1	0.0395338	164.3734644	0.038733998	167.9576229
1.25	0.045128205	201.965602	0.040628969	196.7989983
1.5	0.048422688	228.1326781	0.041875095	220.978625
2	0.049292929	265.3562654	0.043423482	257.5129216
2.5	0.042020202	284.1523342	0.04474765	282.3638402
3	0.04966589	301.4742015	0.046199771	299.6475321
